truncate between -1000 to 300, image[<-1000]=0, image[>300]=0
start time: 2018-08-16 18:44:32
cubic shape: (10, 20, 20)
Training examples: 3808, high 1812, low 1812
Testing examples: 424, high 204, low 204
epoch: 100
batch size: 32
accuracy  is 0.632075, loss is 0.655885, epoch 0 time, consumed 75.79 seconds
accuracy  is 0.726415, loss is 0.604054, epoch 1 time, consumed 73.48 seconds
accuracy  is 0.738208, loss is 0.528902, epoch 2 time, consumed 72.11 seconds
accuracy  is 0.780660, loss is 0.466705, epoch 3 time, consumed 74.06 seconds
accuracy  is 0.794811, loss is 0.442026, epoch 4 time, consumed 73.69 seconds
accuracy  is 0.818396, loss is 0.424209, epoch 5 time, consumed 71.77 seconds
accuracy  is 0.827830, loss is 0.386959, epoch 6 time, consumed 73.23 seconds
accuracy  is 0.837264, loss is 0.384550, epoch 7 time, consumed 72.91 seconds
accuracy  is 0.830189, loss is 0.355527, epoch 8 time, consumed 72.69 seconds
accuracy  is 0.853774, loss is 0.365400, epoch 9 time, consumed 73.65 seconds
accuracy  is 0.851415, loss is 0.371125, epoch 10 time, consumed 67.66 seconds
accuracy  is 0.827830, loss is 0.367939, epoch 11 time, consumed 71.20 seconds
accuracy  is 0.837264, loss is 0.389949, epoch 12 time, consumed 70.78 seconds
accuracy  is 0.827830, loss is 0.409431, epoch 13 time, consumed 71.68 seconds
accuracy  is 0.825472, loss is 0.396421, epoch 14 time, consumed 71.15 seconds
accuracy  is 0.851415, loss is 0.398661, epoch 15 time, consumed 71.20 seconds
accuracy  is 0.841981, loss is 0.401368, epoch 16 time, consumed 71.94 seconds
accuracy  is 0.825472, loss is 0.468574, epoch 17 time, consumed 68.82 seconds
accuracy  is 0.823113, loss is 0.429344, epoch 18 time, consumed 102.29 seconds
accuracy  is 0.839623, loss is 0.392572, epoch 19 time, consumed 100.27 seconds
accuracy  is 0.841981, loss is 0.504850, epoch 20 time, consumed 99.04 seconds
accuracy  is 0.851415, loss is 0.481352, epoch 21 time, consumed 97.81 seconds
accuracy  is 0.837264, loss is 0.506933, epoch 22 time, consumed 104.57 seconds
accuracy  is 0.806604, loss is 0.582149, epoch 23 time, consumed 101.64 seconds
accuracy  is 0.844340, loss is 0.533930, epoch 24 time, consumed 101.42 seconds
accuracy  is 0.808962, loss is 0.702112, epoch 25 time, consumed 102.93 seconds
accuracy  is 0.837264, loss is 0.549423, epoch 26 time, consumed 103.41 seconds
accuracy  is 0.827830, loss is 0.734193, epoch 27 time, consumed 103.86 seconds
accuracy  is 0.818396, loss is 0.735668, epoch 28 time, consumed 104.21 seconds
accuracy  is 0.839623, loss is 0.728098, epoch 29 time, consumed 101.74 seconds
accuracy  is 0.846698, loss is 0.808126, epoch 30 time, consumed 101.78 seconds
accuracy  is 0.825472, loss is 1.038587, epoch 31 time, consumed 102.53 seconds
accuracy  is 0.823113, loss is 0.864648, epoch 32 time, consumed 102.33 seconds
accuracy  is 0.806604, loss is 0.999633, epoch 33 time, consumed 100.79 seconds
accuracy  is 0.844340, loss is 0.867660, epoch 34 time, consumed 100.69 seconds
accuracy  is 0.832547, loss is 1.020076, epoch 35 time, consumed 100.56 seconds
accuracy  is 0.830189, loss is 1.079992, epoch 36 time, consumed 100.29 seconds
accuracy  is 0.832547, loss is 1.133967, epoch 37 time, consumed 100.97 seconds
accuracy  is 0.832547, loss is 1.193158, epoch 38 time, consumed 102.73 seconds
accuracy  is 0.827830, loss is 1.239071, epoch 39 time, consumed 101.44 seconds
accuracy  is 0.830189, loss is 1.334198, epoch 40 time, consumed 100.76 seconds
accuracy  is 0.830189, loss is 1.372403, epoch 41 time, consumed 104.10 seconds
accuracy  is 0.827830, loss is 1.377925, epoch 42 time, consumed 102.64 seconds
accuracy  is 0.823113, loss is 1.415444, epoch 43 time, consumed 100.33 seconds
accuracy  is 0.830189, loss is 1.382939, epoch 44 time, consumed 101.18 seconds
accuracy  is 0.830189, loss is 1.429968, epoch 45 time, consumed 101.47 seconds
accuracy  is 0.825472, loss is 1.400992, epoch 46 time, consumed 100.22 seconds
accuracy  is 0.830189, loss is 1.476035, epoch 47 time, consumed 99.62 seconds
accuracy  is 0.830189, loss is 1.477175, epoch 48 time, consumed 103.91 seconds
accuracy  is 0.825472, loss is 1.515846, epoch 49 time, consumed 100.48 seconds
accuracy  is 0.827830, loss is 1.544915, epoch 50 time, consumed 103.97 seconds
accuracy  is 0.827830, loss is 1.557132, epoch 51 time, consumed 102.35 seconds
accuracy  is 0.825472, loss is 1.610125, epoch 52 time, consumed 103.62 seconds
accuracy  is 0.825472, loss is 1.622432, epoch 53 time, consumed 105.64 seconds
accuracy  is 0.827830, loss is 1.612211, epoch 54 time, consumed 103.07 seconds
accuracy  is 0.834906, loss is 1.657261, epoch 55 time, consumed 105.72 seconds
accuracy  is 0.827830, loss is 1.635840, epoch 56 time, consumed 105.22 seconds
accuracy  is 0.825472, loss is 1.596587, epoch 57 time, consumed 102.65 seconds
accuracy  is 0.823113, loss is 0.826066, epoch 58 time, consumed 104.55 seconds
accuracy  is 0.813679, loss is 1.170106, epoch 59 time, consumed 104.62 seconds
accuracy  is 0.839623, loss is 1.163820, epoch 60 time, consumed 104.80 seconds
accuracy  is 0.832547, loss is 0.946353, epoch 61 time, consumed 103.91 seconds
accuracy  is 0.849057, loss is 1.064358, epoch 62 time, consumed 105.85 seconds
accuracy  is 0.832547, loss is 1.157624, epoch 63 time, consumed 103.10 seconds
accuracy  is 0.841981, loss is 1.232063, epoch 64 time, consumed 102.85 seconds
accuracy  is 0.830189, loss is 1.306429, epoch 65 time, consumed 104.55 seconds
accuracy  is 0.834906, loss is 1.370081, epoch 66 time, consumed 105.06 seconds
accuracy  is 0.827830, loss is 1.416353, epoch 67 time, consumed 106.39 seconds
accuracy  is 0.832547, loss is 1.445076, epoch 68 time, consumed 103.97 seconds
accuracy  is 0.837264, loss is 1.473142, epoch 69 time, consumed 103.32 seconds
accuracy  is 0.834906, loss is 1.516500, epoch 70 time, consumed 105.50 seconds
accuracy  is 0.832547, loss is 1.538801, epoch 71 time, consumed 86.97 seconds
accuracy  is 0.837264, loss is 1.558002, epoch 72 time, consumed 74.41 seconds
accuracy  is 0.837264, loss is 1.573820, epoch 73 time, consumed 75.12 seconds
accuracy  is 0.837264, loss is 1.587573, epoch 74 time, consumed 73.80 seconds
accuracy  is 0.837264, loss is 1.603935, epoch 75 time, consumed 65.96 seconds
accuracy  is 0.837264, loss is 1.616703, epoch 76 time, consumed 75.57 seconds
accuracy  is 0.839623, loss is 1.627216, epoch 77 time, consumed 74.79 seconds
accuracy  is 0.839623, loss is 1.639606, epoch 78 time, consumed 73.06 seconds
accuracy  is 0.834906, loss is 1.650296, epoch 79 time, consumed 74.81 seconds
accuracy  is 0.837264, loss is 1.659928, epoch 80 time, consumed 73.86 seconds
accuracy  is 0.837264, loss is 1.667710, epoch 81 time, consumed 72.22 seconds
accuracy  is 0.837264, loss is 1.676425, epoch 82 time, consumed 75.75 seconds
accuracy  is 0.837264, loss is 1.685753, epoch 83 time, consumed 73.63 seconds
accuracy  is 0.837264, loss is 1.694117, epoch 84 time, consumed 74.39 seconds
accuracy  is 0.837264, loss is 1.701385, epoch 85 time, consumed 75.27 seconds
accuracy  is 0.839623, loss is 1.709266, epoch 86 time, consumed 74.65 seconds
accuracy  is 0.839623, loss is 1.715308, epoch 87 time, consumed 74.05 seconds
accuracy  is 0.839623, loss is 1.722917, epoch 88 time, consumed 74.01 seconds
accuracy  is 0.839623, loss is 1.728992, epoch 89 time, consumed 73.05 seconds
accuracy  is 0.841981, loss is 1.734862, epoch 90 time, consumed 76.45 seconds
accuracy  is 0.841981, loss is 1.741163, epoch 91 time, consumed 77.14 seconds
accuracy  is 0.841981, loss is 1.746954, epoch 92 time, consumed 80.25 seconds
accuracy  is 0.841981, loss is 1.753518, epoch 93 time, consumed 78.80 seconds
