input npy dir: truncate_500/NPY/
cubic shape: (10, 20, 20)
Training examples: 3808, high 1812, low 1812
Testing examples: 424, high 204, low 204
epoch: 80
batch size: 32
start time: 2018-08-17 12:28:32
accuracy is 0.518868, loss is 0.691490, epoch 0 time, consumed 84.80 seconds
accuracy is 0.716981, loss is 0.638447, epoch 1 time, consumed 79.42 seconds
accuracy is 0.724057, loss is 0.566780, epoch 2 time, consumed 80.33 seconds
accuracy is 0.738208, loss is 0.514670, epoch 3 time, consumed 80.08 seconds
accuracy is 0.785377, loss is 0.469413, epoch 4 time, consumed 81.42 seconds
accuracy is 0.806604, loss is 0.435143, epoch 5 time, consumed 80.29 seconds
accuracy is 0.816038, loss is 0.440528, epoch 6 time, consumed 80.83 seconds
accuracy is 0.827830, loss is 0.398783, epoch 7 time, consumed 82.96 seconds
accuracy is 0.837264, loss is 0.391253, epoch 8 time, consumed 81.17 seconds
accuracy is 0.841981, loss is 0.383228, epoch 9 time, consumed 80.12 seconds
accuracy is 0.825472, loss is 0.424217, epoch 10 time, consumed 80.01 seconds
accuracy is 0.823113, loss is 0.401514, epoch 11 time, consumed 81.38 seconds
accuracy is 0.844340, loss is 0.365825, epoch 12 time, consumed 79.32 seconds
accuracy is 0.825472, loss is 0.409683, epoch 13 time, consumed 80.72 seconds
accuracy is 0.808962, loss is 0.384081, epoch 14 time, consumed 81.85 seconds
accuracy is 0.849057, loss is 0.374426, epoch 15 time, consumed 82.09 seconds
accuracy is 0.844340, loss is 0.375093, epoch 16 time, consumed 81.50 seconds
accuracy is 0.849057, loss is 0.350639, epoch 17 time, consumed 81.39 seconds
accuracy is 0.827830, loss is 0.521139, epoch 18 time, consumed 81.10 seconds
accuracy is 0.834906, loss is 0.459464, epoch 19 time, consumed 78.18 seconds
accuracy is 0.830189, loss is 0.542483, epoch 20 time, consumed 81.13 seconds
accuracy is 0.839623, loss is 0.542031, epoch 21 time, consumed 79.97 seconds
accuracy is 0.851415, loss is 0.560249, epoch 22 time, consumed 79.35 seconds
accuracy is 0.856132, loss is 0.512061, epoch 23 time, consumed 78.76 seconds
accuracy is 0.844340, loss is 0.617453, epoch 24 time, consumed 76.62 seconds
accuracy is 0.830189, loss is 0.593063, epoch 25 time, consumed 77.83 seconds
accuracy is 0.825472, loss is 0.646540, epoch 26 time, consumed 78.50 seconds
accuracy is 0.834906, loss is 0.681632, epoch 27 time, consumed 78.12 seconds
accuracy is 0.851415, loss is 0.721863, epoch 28 time, consumed 78.04 seconds
accuracy is 0.790094, loss is 0.767515, epoch 29 time, consumed 78.05 seconds
accuracy is 0.846698, loss is 0.813304, epoch 30 time, consumed 80.05 seconds
accuracy is 0.837264, loss is 0.940573, epoch 31 time, consumed 78.40 seconds
accuracy is 0.820755, loss is 1.218153, epoch 32 time, consumed 77.94 seconds
accuracy is 0.830189, loss is 0.955844, epoch 33 time, consumed 80.25 seconds
accuracy is 0.825472, loss is 1.027861, epoch 34 time, consumed 78.78 seconds
accuracy is 0.820755, loss is 0.986601, epoch 35 time, consumed 79.34 seconds
accuracy is 0.834906, loss is 0.922792, epoch 36 time, consumed 81.67 seconds
accuracy is 0.856132, loss is 1.110451, epoch 37 time, consumed 81.99 seconds
accuracy is 0.818396, loss is 1.014027, epoch 38 time, consumed 93.81 seconds
accuracy is 0.837264, loss is 1.138082, epoch 39 time, consumed 112.05 seconds
accuracy is 0.837264, loss is 1.112174, epoch 40 time, consumed 114.29 seconds
accuracy is 0.860849, loss is 1.205827, epoch 41 time, consumed 113.08 seconds
accuracy is 0.858491, loss is 1.262935, epoch 42 time, consumed 111.44 seconds
accuracy is 0.865566, loss is 1.260770, epoch 43 time, consumed 115.57 seconds
accuracy is 0.860849, loss is 1.326533, epoch 44 time, consumed 112.06 seconds
accuracy is 0.853774, loss is 1.316607, epoch 45 time, consumed 110.46 seconds
accuracy is 0.851415, loss is 1.324347, epoch 46 time, consumed 113.86 seconds
accuracy is 0.856132, loss is 1.384660, epoch 47 time, consumed 113.23 seconds
accuracy is 0.856132, loss is 1.436085, epoch 48 time, consumed 111.64 seconds
