input npy dir: truncate_400_5808/NPY/
cubic shape: (10, 20, 20)
Training examples: 5803, high 1793, low 1793
Testing examples: 645, high 223, low 223
epoch: 80
batch size: 32
keep prob: 0.7
start time: 2018-08-18 01:02:54
accuracy is 0.672868, loss is 0.571433, epoch 0 time, consumed 145.28 seconds
accuracy is 0.795349, loss is 0.569376, epoch 1 time, consumed 139.80 seconds
accuracy is 0.810853, loss is 0.501540, epoch 2 time, consumed 135.47 seconds
accuracy is 0.820155, loss is 0.436650, epoch 3 time, consumed 139.01 seconds
accuracy is 0.838760, loss is 0.431762, epoch 4 time, consumed 139.58 seconds
accuracy is 0.821705, loss is 0.443334, epoch 5 time, consumed 134.68 seconds
accuracy is 0.837209, loss is 0.422687, epoch 6 time, consumed 140.71 seconds
accuracy is 0.843411, loss is 0.402347, epoch 7 time, consumed 142.16 seconds
accuracy is 0.852713, loss is 0.402512, epoch 8 time, consumed 136.12 seconds
accuracy is 0.848062, loss is 0.379331, epoch 9 time, consumed 135.20 seconds
accuracy is 0.854264, loss is 0.386398, epoch 10 time, consumed 139.99 seconds
accuracy is 0.855814, loss is 0.381814, epoch 11 time, consumed 140.64 seconds
accuracy is 0.863566, loss is 0.366901, epoch 12 time, consumed 139.76 seconds
accuracy is 0.841860, loss is 0.405230, epoch 13 time, consumed 139.73 seconds
accuracy is 0.865116, loss is 0.396196, epoch 14 time, consumed 137.26 seconds
accuracy is 0.837209, loss is 0.399696, epoch 15 time, consumed 141.76 seconds
accuracy is 0.855814, loss is 0.425756, epoch 16 time, consumed 140.96 seconds
accuracy is 0.857364, loss is 0.351669, epoch 17 time, consumed 141.19 seconds
accuracy is 0.863566, loss is 0.368998, epoch 18 time, consumed 136.09 seconds
accuracy is 0.862015, loss is 0.363807, epoch 19 time, consumed 138.15 seconds
accuracy is 0.871318, loss is 0.354587, epoch 20 time, consumed 140.23 seconds
accuracy is 0.872868, loss is 0.356813, epoch 21 time, consumed 140.26 seconds
accuracy is 0.862015, loss is 0.362287, epoch 22 time, consumed 140.02 seconds
accuracy is 0.868217, loss is 0.345916, epoch 23 time, consumed 143.82 seconds
accuracy is 0.868217, loss is 0.337427, epoch 24 time, consumed 138.60 seconds
accuracy is 0.851163, loss is 0.367887, epoch 25 time, consumed 141.65 seconds
accuracy is 0.877519, loss is 0.336952, epoch 26 time, consumed 144.06 seconds
accuracy is 0.880620, loss is 0.334703, epoch 27 time, consumed 136.01 seconds
accuracy is 0.880620, loss is 0.327767, epoch 28 time, consumed 141.11 seconds
accuracy is 0.872868, loss is 0.356163, epoch 29 time, consumed 145.97 seconds
accuracy is 0.863566, loss is 0.384909, epoch 30 time, consumed 140.87 seconds
accuracy is 0.837209, loss is 0.394333, epoch 31 time, consumed 143.92 seconds
accuracy is 0.874419, loss is 0.353973, epoch 32 time, consumed 142.62 seconds
accuracy is 0.855814, loss is 0.371937, epoch 33 time, consumed 140.61 seconds
accuracy is 0.882171, loss is 0.308967, epoch 34 time, consumed 140.09 seconds
accuracy is 0.871318, loss is 0.354170, epoch 35 time, consumed 142.25 seconds
accuracy is 0.854264, loss is 0.343851, epoch 36 time, consumed 143.70 seconds
accuracy is 0.848062, loss is 0.359305, epoch 37 time, consumed 138.62 seconds
accuracy is 0.868217, loss is 0.346617, epoch 38 time, consumed 137.10 seconds
accuracy is 0.865116, loss is 0.356635, epoch 39 time, consumed 136.54 seconds
accuracy is 0.854264, loss is 0.391344, epoch 40 time, consumed 137.02 seconds
accuracy is 0.855814, loss is 0.357720, epoch 41 time, consumed 142.18 seconds
accuracy is 0.826357, loss is 0.439680, epoch 42 time, consumed 142.19 seconds
accuracy is 0.849612, loss is 0.407013, epoch 43 time, consumed 141.89 seconds
accuracy is 0.846512, loss is 0.410648, epoch 44 time, consumed 143.77 seconds
accuracy is 0.862015, loss is 0.380495, epoch 45 time, consumed 140.90 seconds
accuracy is 0.862015, loss is 0.427622, epoch 46 time, consumed 136.96 seconds
accuracy is 0.865116, loss is 0.364772, epoch 47 time, consumed 140.26 seconds
accuracy is 0.851163, loss is 0.490943, epoch 48 time, consumed 140.01 seconds
accuracy is 0.879070, loss is 0.398788, epoch 49 time, consumed 139.99 seconds
accuracy is 0.872868, loss is 0.453608, epoch 50 time, consumed 140.96 seconds
accuracy is 0.835659, loss is 0.409402, epoch 51 time, consumed 141.59 seconds
accuracy is 0.831008, loss is 0.495146, epoch 52 time, consumed 137.64 seconds
accuracy is 0.863566, loss is 0.415514, epoch 53 time, consumed 139.69 seconds
accuracy is 0.866667, loss is 0.409678, epoch 54 time, consumed 146.35 seconds
accuracy is 0.860465, loss is 0.444567, epoch 55 time, consumed 140.52 seconds
accuracy is 0.860465, loss is 0.454483, epoch 56 time, consumed 140.03 seconds
accuracy is 0.852713, loss is 0.493633, epoch 57 time, consumed 136.33 seconds
accuracy is 0.863566, loss is 0.460075, epoch 58 time, consumed 139.25 seconds
accuracy is 0.858915, loss is 0.505660, epoch 59 time, consumed 141.74 seconds
accuracy is 0.862015, loss is 0.416098, epoch 60 time, consumed 142.50 seconds
accuracy is 0.849612, loss is 0.547613, epoch 61 time, consumed 142.86 seconds
accuracy is 0.858915, loss is 0.507588, epoch 62 time, consumed 145.30 seconds
accuracy is 0.854264, loss is 0.532012, epoch 63 time, consumed 139.74 seconds
accuracy is 0.882171, loss is 0.490310, epoch 64 time, consumed 138.29 seconds
accuracy is 0.865116, loss is 0.561044, epoch 65 time, consumed 140.49 seconds
accuracy is 0.863566, loss is 0.551492, epoch 66 time, consumed 138.12 seconds
accuracy is 0.880620, loss is 0.469263, epoch 67 time, consumed 140.25 seconds
accuracy is 0.868217, loss is 0.521337, epoch 68 time, consumed 140.01 seconds
accuracy is 0.858915, loss is 0.543916, epoch 69 time, consumed 140.15 seconds
accuracy is 0.858915, loss is 0.609246, epoch 70 time, consumed 137.19 seconds
accuracy is 0.858915, loss is 0.529631, epoch 71 time, consumed 146.32 seconds
accuracy is 0.860465, loss is 0.600723, epoch 72 time, consumed 141.70 seconds
accuracy is 0.865116, loss is 0.557264, epoch 73 time, consumed 139.99 seconds
accuracy is 0.880620, loss is 0.538948, epoch 74 time, consumed 146.19 seconds
accuracy is 0.875969, loss is 0.537907, epoch 75 time, consumed 138.29 seconds
accuracy is 0.862015, loss is 0.574252, epoch 76 time, consumed 137.51 seconds
accuracy is 0.874419, loss is 0.606327, epoch 77 time, consumed 138.01 seconds
accuracy is 0.854264, loss is 0.576217, epoch 78 time, consumed 139.78 seconds
accuracy is 0.877519, loss is 0.488906, epoch 79 time, consumed 138.77 seconds
training finshed. highest accuracy is 0.882171, the iterator is 34 
end time: 2018-08-18 04:11:11
