input npy dir: 1245/NPY/
cubic shape: (10, 20, 20)
Training examples: 5803, high 1793, low 1793
Testing examples: 645, high 223, low 223
epoch: 80
batch size: 32
keep prob: 0.7
start time: 2018-08-18 04:11:14
accuracy is 0.654264, loss is 0.633132, epoch 0 time, consumed 143.51 seconds
accuracy is 0.792248, loss is 0.527140, epoch 1 time, consumed 140.69 seconds
accuracy is 0.798450, loss is 0.486595, epoch 2 time, consumed 136.10 seconds
accuracy is 0.817054, loss is 0.465941, epoch 3 time, consumed 139.71 seconds
accuracy is 0.841860, loss is 0.419882, epoch 4 time, consumed 141.50 seconds
accuracy is 0.831008, loss is 0.420057, epoch 5 time, consumed 137.41 seconds
accuracy is 0.815504, loss is 0.447975, epoch 6 time, consumed 139.39 seconds
accuracy is 0.831008, loss is 0.412004, epoch 7 time, consumed 138.13 seconds
accuracy is 0.849612, loss is 0.393814, epoch 8 time, consumed 140.60 seconds
accuracy is 0.858915, loss is 0.413815, epoch 9 time, consumed 137.69 seconds
accuracy is 0.848062, loss is 0.386218, epoch 10 time, consumed 139.82 seconds
accuracy is 0.851163, loss is 0.368620, epoch 11 time, consumed 136.84 seconds
accuracy is 0.865116, loss is 0.381909, epoch 12 time, consumed 142.03 seconds
accuracy is 0.835659, loss is 0.399666, epoch 13 time, consumed 138.50 seconds
accuracy is 0.849612, loss is 0.384402, epoch 14 time, consumed 142.29 seconds
accuracy is 0.851163, loss is 0.379503, epoch 15 time, consumed 141.19 seconds
accuracy is 0.862015, loss is 0.349205, epoch 16 time, consumed 139.95 seconds
accuracy is 0.860465, loss is 0.356705, epoch 17 time, consumed 146.99 seconds
accuracy is 0.869767, loss is 0.363957, epoch 18 time, consumed 141.05 seconds
accuracy is 0.860465, loss is 0.396278, epoch 19 time, consumed 137.35 seconds
accuracy is 0.857364, loss is 0.351725, epoch 20 time, consumed 137.09 seconds
accuracy is 0.862015, loss is 0.381855, epoch 21 time, consumed 140.94 seconds
accuracy is 0.852713, loss is 0.375050, epoch 22 time, consumed 137.93 seconds
accuracy is 0.858915, loss is 0.359436, epoch 23 time, consumed 140.78 seconds
accuracy is 0.860465, loss is 0.360179, epoch 24 time, consumed 140.42 seconds
accuracy is 0.860465, loss is 0.349092, epoch 25 time, consumed 136.03 seconds
accuracy is 0.872868, loss is 0.335104, epoch 26 time, consumed 140.68 seconds
accuracy is 0.874419, loss is 0.323128, epoch 27 time, consumed 142.49 seconds
accuracy is 0.869767, loss is 0.333436, epoch 28 time, consumed 139.06 seconds
accuracy is 0.863566, loss is 0.352143, epoch 29 time, consumed 136.26 seconds
accuracy is 0.880620, loss is 0.337048, epoch 30 time, consumed 137.95 seconds
accuracy is 0.862015, loss is 0.341694, epoch 31 time, consumed 140.92 seconds
accuracy is 0.854264, loss is 0.389592, epoch 32 time, consumed 132.88 seconds
accuracy is 0.874419, loss is 0.331822, epoch 33 time, consumed 144.48 seconds
accuracy is 0.875969, loss is 0.323549, epoch 34 time, consumed 139.22 seconds
accuracy is 0.874419, loss is 0.314929, epoch 35 time, consumed 139.74 seconds
accuracy is 0.863566, loss is 0.336542, epoch 36 time, consumed 139.96 seconds
accuracy is 0.872868, loss is 0.347108, epoch 37 time, consumed 138.10 seconds
accuracy is 0.849612, loss is 0.338174, epoch 38 time, consumed 138.28 seconds
accuracy is 0.860465, loss is 0.356266, epoch 39 time, consumed 141.58 seconds
accuracy is 0.894574, loss is 0.325620, epoch 40 time, consumed 140.01 seconds
accuracy is 0.862015, loss is 0.342905, epoch 41 time, consumed 129.74 seconds
accuracy is 0.866667, loss is 0.334601, epoch 42 time, consumed 121.29 seconds
accuracy is 0.848062, loss is 0.387701, epoch 43 time, consumed 120.75 seconds
accuracy is 0.862015, loss is 0.377928, epoch 44 time, consumed 125.59 seconds
accuracy is 0.862015, loss is 0.395864, epoch 45 time, consumed 121.52 seconds
accuracy is 0.826357, loss is 0.390708, epoch 46 time, consumed 121.58 seconds
accuracy is 0.865116, loss is 0.368450, epoch 47 time, consumed 120.92 seconds
accuracy is 0.862015, loss is 0.379665, epoch 48 time, consumed 120.09 seconds
accuracy is 0.866667, loss is 0.378356, epoch 49 time, consumed 122.99 seconds
accuracy is 0.868217, loss is 0.404682, epoch 50 time, consumed 120.86 seconds
accuracy is 0.855814, loss is 0.387797, epoch 51 time, consumed 122.78 seconds
accuracy is 0.880620, loss is 0.345891, epoch 52 time, consumed 122.95 seconds
accuracy is 0.875969, loss is 0.384679, epoch 53 time, consumed 122.10 seconds
accuracy is 0.889922, loss is 0.375533, epoch 54 time, consumed 121.50 seconds
accuracy is 0.869767, loss is 0.394891, epoch 55 time, consumed 120.40 seconds
accuracy is 0.882171, loss is 0.390654, epoch 56 time, consumed 120.26 seconds
accuracy is 0.872868, loss is 0.422505, epoch 57 time, consumed 121.84 seconds
accuracy is 0.886822, loss is 0.349905, epoch 58 time, consumed 119.75 seconds
accuracy is 0.877519, loss is 0.439864, epoch 59 time, consumed 120.99 seconds
accuracy is 0.871318, loss is 0.399560, epoch 60 time, consumed 121.36 seconds
accuracy is 0.860465, loss is 0.464274, epoch 61 time, consumed 117.02 seconds
accuracy is 0.880620, loss is 0.412685, epoch 62 time, consumed 112.09 seconds
accuracy is 0.857364, loss is 0.443141, epoch 63 time, consumed 111.34 seconds
accuracy is 0.860465, loss is 0.429078, epoch 64 time, consumed 111.37 seconds
accuracy is 0.874419, loss is 0.435372, epoch 65 time, consumed 109.20 seconds
accuracy is 0.874419, loss is 0.469126, epoch 66 time, consumed 108.39 seconds
accuracy is 0.877519, loss is 0.501931, epoch 67 time, consumed 109.35 seconds
accuracy is 0.874419, loss is 0.425775, epoch 68 time, consumed 109.56 seconds
accuracy is 0.860465, loss is 0.450547, epoch 69 time, consumed 113.58 seconds
accuracy is 0.866667, loss is 0.454675, epoch 70 time, consumed 107.04 seconds
accuracy is 0.855814, loss is 0.501474, epoch 71 time, consumed 109.55 seconds
accuracy is 0.863566, loss is 0.436231, epoch 72 time, consumed 109.36 seconds
accuracy is 0.872868, loss is 0.507038, epoch 73 time, consumed 108.66 seconds
accuracy is 0.871318, loss is 0.484800, epoch 74 time, consumed 108.41 seconds
accuracy is 0.880620, loss is 0.421459, epoch 75 time, consumed 104.85 seconds
accuracy is 0.879070, loss is 0.600510, epoch 76 time, consumed 109.07 seconds
accuracy is 0.871318, loss is 0.514035, epoch 77 time, consumed 112.58 seconds
accuracy is 0.871318, loss is 0.506097, epoch 78 time, consumed 108.49 seconds
accuracy is 0.871318, loss is 0.499209, epoch 79 time, consumed 110.49 seconds
training finshed. highest accuracy is 0.894574, the iterator is 40 
end time: 2018-08-18 07:03:27
