truncate between -1000 to 400, image[<-1000]=0, image[>400]=0
start time: 2018-08-16 13:56:00
cubic shape: (10, 20, 20)
Training examples: 3808, high 1812, low 1812
Testing examples: 424, high 204, low 204
epoch: 120
batch size: 32
accuracy  is 0.518868, loss is 0.690929, epoch 0 time, consumed 82.68 seconds
accuracy  is 0.698113, loss is 0.603823, epoch 1 time, consumed 80.74 seconds
accuracy  is 0.726415, loss is 0.547251, epoch 2 time, consumed 86.27 seconds
accuracy  is 0.759434, loss is 0.503302, epoch 3 time, consumed 82.74 seconds
accuracy  is 0.792453, loss is 0.454376, epoch 4 time, consumed 81.38 seconds
accuracy  is 0.813679, loss is 0.419741, epoch 5 time, consumed 79.91 seconds
accuracy  is 0.808962, loss is 0.421213, epoch 6 time, consumed 81.03 seconds
accuracy  is 0.820755, loss is 0.405552, epoch 7 time, consumed 81.26 seconds
accuracy  is 0.820755, loss is 0.374841, epoch 8 time, consumed 77.51 seconds
accuracy  is 0.834906, loss is 0.367305, epoch 9 time, consumed 83.32 seconds
accuracy  is 0.832547, loss is 0.372168, epoch 10 time, consumed 83.73 seconds
accuracy  is 0.837264, loss is 0.387559, epoch 11 time, consumed 82.83 seconds
accuracy  is 0.830189, loss is 0.395726, epoch 12 time, consumed 83.88 seconds
accuracy  is 0.853774, loss is 0.363982, epoch 13 time, consumed 80.10 seconds
accuracy  is 0.849057, loss is 0.360792, epoch 14 time, consumed 82.05 seconds
accuracy  is 0.839623, loss is 0.414940, epoch 15 time, consumed 79.42 seconds
accuracy  is 0.827830, loss is 0.433501, epoch 16 time, consumed 82.72 seconds
accuracy  is 0.849057, loss is 0.435000, epoch 17 time, consumed 80.66 seconds
accuracy  is 0.839623, loss is 0.466294, epoch 18 time, consumed 81.85 seconds
accuracy  is 0.832547, loss is 0.474108, epoch 19 time, consumed 86.33 seconds
accuracy  is 0.825472, loss is 0.463152, epoch 20 time, consumed 82.08 seconds
accuracy  is 0.851415, loss is 0.484875, epoch 21 time, consumed 81.69 seconds
accuracy  is 0.830189, loss is 0.512323, epoch 22 time, consumed 76.25 seconds
accuracy  is 0.846698, loss is 0.523182, epoch 23 time, consumed 101.84 seconds
accuracy  is 0.846698, loss is 0.529292, epoch 24 time, consumed 104.37 seconds
accuracy  is 0.844340, loss is 0.623814, epoch 25 time, consumed 104.49 seconds
accuracy  is 0.832547, loss is 0.743232, epoch 26 time, consumed 101.88 seconds
accuracy  is 0.832547, loss is 0.668072, epoch 27 time, consumed 107.87 seconds
accuracy  is 0.830189, loss is 0.565615, epoch 28 time, consumed 108.05 seconds
accuracy  is 0.827830, loss is 0.741176, epoch 29 time, consumed 106.31 seconds
accuracy  is 0.832547, loss is 0.711203, epoch 30 time, consumed 107.93 seconds
accuracy  is 0.839623, loss is 0.813815, epoch 31 time, consumed 107.14 seconds
accuracy  is 0.827830, loss is 0.806490, epoch 32 time, consumed 103.40 seconds
accuracy  is 0.837264, loss is 1.022294, epoch 33 time, consumed 104.36 seconds
accuracy  is 0.849057, loss is 1.001889, epoch 34 time, consumed 103.78 seconds
accuracy  is 0.830189, loss is 1.056713, epoch 35 time, consumed 106.49 seconds
accuracy  is 0.841981, loss is 1.071905, epoch 36 time, consumed 101.32 seconds
accuracy  is 0.841981, loss is 1.083267, epoch 37 time, consumed 101.03 seconds
accuracy  is 0.816038, loss is 0.784818, epoch 38 time, consumed 103.66 seconds
accuracy  is 0.820755, loss is 0.927167, epoch 39 time, consumed 102.66 seconds
accuracy  is 0.837264, loss is 1.093328, epoch 40 time, consumed 104.33 seconds
accuracy  is 0.823113, loss is 1.104602, epoch 41 time, consumed 104.94 seconds
accuracy  is 0.834906, loss is 1.171187, epoch 42 time, consumed 105.91 seconds
accuracy  is 0.830189, loss is 1.228036, epoch 43 time, consumed 103.79 seconds
accuracy  is 0.837264, loss is 1.223516, epoch 44 time, consumed 103.51 seconds
accuracy  is 0.839623, loss is 1.313357, epoch 45 time, consumed 103.36 seconds
accuracy  is 0.801887, loss is 0.831611, epoch 46 time, consumed 102.91 seconds
accuracy  is 0.823113, loss is 1.029339, epoch 47 time, consumed 100.89 seconds
accuracy  is 0.839623, loss is 1.025798, epoch 48 time, consumed 103.94 seconds
accuracy  is 0.827830, loss is 0.988057, epoch 49 time, consumed 100.09 seconds
accuracy  is 0.834906, loss is 1.121190, epoch 50 time, consumed 101.06 seconds
accuracy  is 0.834906, loss is 1.143286, epoch 51 time, consumed 105.59 seconds
accuracy  is 0.832547, loss is 1.183942, epoch 52 time, consumed 104.04 seconds
accuracy  is 0.837264, loss is 1.215282, epoch 53 time, consumed 100.00 seconds
accuracy  is 0.841981, loss is 1.251216, epoch 54 time, consumed 101.09 seconds
accuracy  is 0.832547, loss is 1.268705, epoch 55 time, consumed 102.41 seconds
accuracy  is 0.827830, loss is 1.266426, epoch 56 time, consumed 102.64 seconds
accuracy  is 0.834906, loss is 1.283201, epoch 57 time, consumed 100.24 seconds
accuracy  is 0.832547, loss is 1.290720, epoch 58 time, consumed 101.98 seconds
accuracy  is 0.827830, loss is 1.314780, epoch 59 time, consumed 104.98 seconds
accuracy  is 0.832547, loss is 1.334004, epoch 60 time, consumed 126.29 seconds
accuracy  is 0.832547, loss is 1.321083, epoch 61 time, consumed 128.42 seconds
accuracy  is 0.832547, loss is 1.368783, epoch 62 time, consumed 132.27 seconds
accuracy  is 0.834906, loss is 1.382995, epoch 63 time, consumed 128.87 seconds
accuracy  is 0.830189, loss is 1.373493, epoch 64 time, consumed 133.59 seconds
